375	443
420	375
686	696
402	375
185	948
185	189
268	263
355	344
349	342
77	78
700	701
261	268
489	492
405	375
361	364
141	150
404	375
612	605
932	605
144	153
269	268
102	77
883	848
592	268
693	658
1184	617
214	216
500	526
1093	218
818	817
818	820
922	144
407	375
430	375
802	786
921	144
159	142
159	161
159	535
159	160
64	30
1001	997
715	704
715	707
165	156
165	134
165	149
165	152
165	154
165	140
165	162
1088	1104
1088	1102
448	375
439	375
158	159
900	211
24	1
1039	255
341	342
682	686
899	211
1107	1106
109	77
522	534
516	536
1020	255
312	305
312	307
312	311
312	303
308	312
406	375
82	77
394	375
1176	1175
668	679
702	701
702	1091
702	1090
1174	1187
1188	1174
138	159
122	77
413	375
132	77
155	165
698	665
698	647
698	655
698	691
322	316
135	159
468	159
276	268
48	30
314	312
1172	223
313	312
382	375
108	77
92	77
824	822
713	715
1053	1005
638	637
397	375
1171	223
501	159
309	302
309	312
309	304
644	668
829	833
829	824
129	77
367	342
11	30
139	165
128	77
265	268
118	77
215	214
96	77
840	843
840	836
840	841
840	842
840	838
840	834
840	823
840	835
840	821
33	1
66	5
80	77
86	77
120	77
241	242
247	241
270	268
301	312
306	312
310	309
372	465
372	461
372	373
372	462
372	309
372	371
372	374
409	375
438	375
458	457
463	372
558	559
584	571
625	626
625	628
681	698
709	715
714	715
819	818
826	822
830	822
832	840
837	840
844	840
847	840
973	268
982	268
1017	273
1117	1115
1173	223
