743	165
686	672
1174	1188
185	189
1088	1102
617	923
159	342
1150	954
1184	617
149	165
516	536
522	534
268	261
547	534
349	342
781	793
781	791
367	342
592	268
142	159
162	165
140	162
141	150
152	165
1105	1139
139	165
135	159
144	922
144	163
144	162
1039	255
713	715
468	159
160	159
1053	1005
1104	1088
790	802
134	165
535	159
154	165
1086	536
341	342
153	144
1	24
147	153
1036	255
668	679
161	159
701	700
707	715
900	211
357	342
786	802
1001	997
313	312
784	805
1187	1174
840	835
840	834
696	686
678	268
492	489
1106	1107
245	840
637	643
683	658
457	459
305	312
157	165
682	686
841	840
1071	536
883	848
307	312
214	217
214	215
214	216
306	312
921	144
1175	1177
1175	1176
612	605
263	268
265	268
269	268
300	312
638	637
155	165
836	840
375	405
375	433
375	402
375	391
309	312
309	304
376	375
355	344
1099	218
644	668
1152	165
302	309
579	840
843	840
818	817
818	819
501	159
156	165
33	1
838	840
310	309
382	375
438	375
709	715
1171	223
830	822
308	312
314	312
35	5
77	90
77	115
77	120
77	100
77	124
77	78
77	130
77	132
77	88
77	118
77	122
77	128
77	82
96	77
106	77
129	77
138	159
158	159
194	183
241	242
241	247
270	268
301	312
303	312
311	312
372	373
372	374
372	462
372	309
372	463
372	371
392	375
397	375
409	375
413	375
420	375
439	375
443	375
458	171
458	457
558	559
584	571
625	627
625	626
684	658
698	655
698	691
698	647
698	665
698	681
702	701
702	1090
702	1091
714	715
820	818
821	840
823	840
825	840
837	840
842	840
844	840
847	840
899	211
973	268
982	268
1017	273
1020	255
1092	218
1117	1115
1172	223
1173	223
