98	100
560	1237
657	669
455	9
16	179
781	464
8	7
8	16
208	20
580	760
912	179
199	200
678	669
93	102
6	400
384	603
384	572
384	571
507	384
463	462
290	202
290	384
801	384
399	6
994	998
289	801
803	804
1209	179
620	865
762	135
101	98
230	409
1168	289
1264	1263
1076	46
1115	1112
780	464
99	98
1081	46
933	230
284	283
874	494
407	230
600	599
1077	46
1101	1104
800	801
1169	289
229	230
1182	8
189	185
121	120
934	230
1170	289
1008	1009
709	710
63	322
63	246
63	320
63	64
63	318
1023	1024
598	599
319	63
779	464
1082	46
798	384
802	384
1069	41
1019	1017
321	63
799	384
411	230
1102	1101
107	106
945	571
124	121
1070	41
159	163
231	230
109	110
702	572
108	109
112	109
259	257
288	287
684	656
805	803
1071	41
1089	1091
1090	1089
1103	1101
1108	1101
1109	1101
1154	1147
