YNL025C	YNL236W
YBL068W	YOL061W
YER029C	YPR178W
YJL148W	YMR239C
YFR004W	YPR033C
YDL145C	YMR106C
YGR218W	YKL029C
YJR066W	YLR108C
YER133W	YLR109W
YBR194W	YKL152C
YDL087C	YHR086W
YNL121C	YPL063W
YML012W	YOR054C
YDL208W	YGL120C
YLR103C	YNL330C
YHL015W	YLL036C
YDR103W	YLR305C
YHR064C	YPR189W
YDR458C	YJL092W
YBL092W	YGR085C
YGL077C	YHR094C
YBR111W-A	YER165W
YIL148W	YOR117W
YBL009W	YKL203C
YJL164C	YNR013C
YLR045C	YOR269W
YCR008W	YDR364C
YDR381W	YPL227C
YHR119W	YIL142W
YDR303C	YPL082C
YBR211C	YPL233W
YHR019C	YLR075W
YIL039W	YLR429W
YFR021W	YOL086C
YGL207W	YML069W
YHR104W	YHR200W
YDL143W	YKL145W
YEL051W	YJL153C
TS(AGA)J	YDR023W
YGL112C	YPL254W
YHR007C	YKL088W
YGR034W	YHL001W
YJR060W	YKL089W
YIR010W	YNL166C
YHR200W	YOR027W
YGL172W	YJR022W
YIR010W	YML074C
YGL111W	YKR081C
YAR007C	YLR103C
YGL122C	YLR189C
YDL117W	YGR037C
YGL207W	YLR150W
YGR005C	YNR010W
YGR180C	YLL039C
YGL122C	YPL051W
YBL027W	YGR034W
YDR087C	YGR103W
YBL032W	YDR512C
YBL032W	YPL002C
YDL017W	YPL218W
YIL139C	YKL101W
YMR070W	YOL109W
YOR127W	YOR326W
YDL209C	YFL039C
YCR073C	YDR179C
YFR032C-A	YKL046C
YGR033C	YNL131W
YMR242C	YOR063W
YGL019W	YIL084C
YDR011W	YKL051W
YBR054W	YOR016C
YBR159W	YBR183W
YHR156C	YJL187C
YDR171W	YDR430C
YBL007C	YGL201C
YEL056W	YNL031C
YCR038C	YPR122W
YBR128C	YPL240C
YGL030W	YMR194W
YGR021W	YKL048C
YGR095C	YNR024W
YCL035C	YKL198C
YEL026W	YHR013C
YLR248W	YNL284C-A
YLR287C-A	YML063W
YHL007C	YNL118C
YDR381W	YPR107C
YEL026W	YIL056W
YHR143W-A	YIL021W
YBL031W	YGL158W
YBL003C	YOR217W
YBR036C	YML048W
YDR494W	YGL122C
YGL031C	YNL124W
YER142C	YGR162W
YER122C	YIR010W
YIL043C	YPL249C-A
YAR014C	YDR085C
YBR048W	YCR031C
YBR191W	YDR447C
YML086C	YPL145C
YGL179C	YKL093W
YDR064W	YPL266W
YDR510W	YNL067W
YNL153C	YNL255C
YBL032W	YER144C
YMR309C	YPL004C
YFL060C	YNL333W
YDR381W	YLR249W
YLR438C-A	YOR159C
YFR031C-A	YLR029C
YDR365C	YDR381W
YBR142W	YDL014W
YLR180W	YML126C
YIL019W	YLR051C
YDR233C	YFR004W
YJL176C	YMR033W
YGL122C	YGL201C
YLR100W	YMR202W
YLR427W	YOL139C
YDR087C	YHR088W
YAL005C	YNL025C
YFL062W	YKL004W
YAL024C	YOR276W
YMR117C	YOR358W
YPL031C	YPL201C
YFL013C	YLR399C
YJL106W	YNL245C
YBR200W	YDR103W
YAL001C	YDR449C
YLR340W	YPL249C-A
YGR103W	YOR272W
YDR329C	YMR204C
YBR011C	YJL033W
YLR447C	YNL255C
YLR433C	YNL085W
YLL004W	YNL261W
YDR510W	YLR215C
YKR059W	YOL135C
YCL030C	YFR004W
YBL025W	YGL122C
YGL122C	YGR161W-B
YDR477W	YOR340C
YDL028C	YOR373W
YHL034C	YMR116C
YDL101C	YOL139C
YLR009W	YLR276C
YDL087C	YML102W
YDL192W	YFL048C
YCL009C	YNL157W
YBR020W	YML088W
YML085C	YMR048W
YLL039C	YMR300C
YBR066C	YKR015C
YJL080C	YMR116C
YDL169C	YNL172W
YHL004W	YJL112W
YJL141C	YML078W
YBR198C	YER148W
YAL038W	YBR279W
YDR097C	YML032C
YNL255C	YOL013W-A
YLL008W	YNL002C
YDR331W	YKL154W
YKL049C	YOR151C
YHR030C	YLR216C
YKL085W	YNR001C
YHR135C	YOR123C
YKR048C	YLR330W
YDR510W	YGR280C
YBL084C	YKL022C
YBR031W	YHR169W
YFL037W	YJL111W
YGL122C	YPR149W
YBL027W	YLR150W
YJL095W	YNL125C
YDL153C	YML065W
YGL122C	YLR104W
YKR001C	YNL330C
YDL053C	YPL042C
YBR193C	YOL135C
YBL038W	YNL252C
YFL039C	YLR319C
YFR004W	YPR158W-A
YMR049C	YPL258C
YGL128C	YLR117C
